Config,Val MAE,Improvement %,Val MAPE,Avg Reward,Training Time (s),LR,Action Range,Lambda Risk,Entropy,Bonus Weight
Conservative,58.91470327497384,0.12675293716073302,13.287132914938715,-34.089993,17.702701,1e-05,0.01,10.0,0.01,1.0
Risk Averse,58.91470327497384,0.12675293716073302,13.287132914938715,-44.518642,17.211769,5e-05,0.01,15.0,0.0,0.5
Current Best,60.28408060253468,-2.1946397297837508,13.480407667824936,-24.007816,17.539314,5e-05,0.02,5.0,0.02,0.5
High Exploration,60.28408060253468,-2.1946397297837508,13.480407667824936,-24.007816,17.25452,5e-05,0.02,5.0,0.05,0.5
Bonus Focused,60.28408060253468,-2.1946397297837508,13.480407667824936,-17.978565,17.286802,5e-05,0.02,2.0,0.01,2.0
Balanced,62.883445912714116,-6.601129780636679,13.878965016766854,-24.881096,17.191063,5e-05,0.03,5.0,0.015,1.0
Fast Learner,64.19306723254869,-8.821223006331664,14.248651752455238,-26.070408,17.199473,0.0001,0.02,5.0,0.02,1.5
Aggressive,70.29485620400375,-19.16508359792539,15.106175890308657,-18.140759,17.178294,0.0001,0.05,1.0,0.02,0.5
